game	team	conference	location	result
98	UTA	West	Home	Win
99	TOR	East	Away	Win
99	POR	West	Home	Loss
100	GS	West	Away	Win
100	LAC	West	Home	Loss
101	SAC	West	Away	Loss
101	IND	East	Home	Win
102	PHO	West	Away	Win
102	BKN	East	Home	Loss
103	OKC	West	Away	Win
103	MIL	East	Home	Loss
104	DET	East	Away	Loss
104	LAL	West	Home	Win
105	MIL	East	Away	Loss
105	CHA	East	Home	Win
106	IND	East	Away	Win
106	CLE	East	Home	Loss
107	ATL	East	Away	Loss
107	PHI	East	Home	Win
108	PHO	West	Away	Win
108	WAS	East	Home	Loss
109	SAC	West	Away	Loss
109	BOS	East	Home	Win
110	CHI	East	Away	Loss
110	MIA	East	Home	Win
111	ORL	East	Away	Win
111	MEM	West	Home	Loss
112	MIN	West	Away	Win
112	NO	West	Home	Loss
113	HOU	West	Away	Win
113	NY	East	Home	Loss
114	TOR	East	Away	Loss
114	DEN	West	Home	Win
115	POR	West	Away	Loss
115	UTA	West	Home	Win
116	DAL	West	Away	Loss
116	LAC	West	Home	Win
117	GS	West	Away	Win
117	SA	West	Home	Loss
118	LAL	West	Away	Loss
118	POR	West	Home	Win
119	MIL	East	Away	Loss
119	DET	East	Home	Win
120	CHI	East	Away	Win
120	ORL	East	Home	Loss
121	IND	East	Away	Loss
121	PHI	East	Home	Win
122	CLE	East	Away	Win
122	WAS	East	Home	Loss
123	HOU	West	Away	Win
123	ATL	East	Home	Loss
124	PHO	West	Away	Loss
124	NY	East	Home	Win
125	NO	West	Away	Win
125	DAL	West	Home	Loss
126	CHA	East	Away	Loss
126	SA	West	Home	Win
127	MIA	East	Away	Loss
127	DEN	West	Home	Win
128	TOR	East	Away	Win
128	UTA	West	Home	Loss
129	BOS	East	Away	Win
129	OKC	West	Home	Loss
130	BKN	East	Away	Loss
130	LAL	West	Home	Win
131	MEM	West	Away	Win
131	LAC	West	Home	Loss
132	SAC	West	Away	Loss
132	DET	East	Home	Win
133	NO	West	Away	Win
133	CHI	East	Home	Loss
134	DAL	West	Away	Loss
134	MIN	West	Home	Win
135	GS	West	Away	Win
135	DEN	West	Home	Loss
136	ATL	East	Away	Win
136	CLE	East	Home	Loss
137	MIA	East	Away	Win
137	LAC	West	Home	Loss
138	BOS	East	Away	Win
138	ORL	East	Home	Loss
139	WAS	East	Away	Win
139	TOR	East	Home	Loss
140	UTA	West	Away	Loss
140	HOU	West	Home	Win
141	PHO	West	Away	Loss
141	SA	West	Home	Win
142	IND	East	Away	Loss
142	NY	East	Home	Win
143	CHA	East	Away	Loss
143	MIN	West	Home	Win
144	OKC	West	Away	Loss
144	POR	West	Home	Win
145	MEM	West	Away	Loss
145	LAL	West	Home	Win
146	BOS	East	Away	Win
146	ATL	East	Home	Loss
147	BKN	East	Away	Win
147	PHO	West	Home	Loss
148	MIA	East	Away	Loss
148	GS	West	Home	Win
149	MIL	East	Away	Loss
149	CLE	East	Home	Win
150	NO	West	Away	Win
150	IND	East	Home	Loss
151	DAL	West	Away	Win
151	WAS	East	Home	Loss
152	CHA	East	Away	Loss
152	NY	East	Home	Win
153	CHI	East	Away	Loss
153	TOR	East	Home	Win
154	LAC	West	Away	Loss
154	SA	West	Home	Win
155	BKN	East	Away	Loss
155	DEN	West	Home	Win
156	PHI	East	Away	Win
156	UTA	West	Home	Loss
157	MEM	West	Away	Win
157	POR	West	Home	Loss
158	OKC	West	Away	Loss
158	SAC	West	Home	Win
159	IND	East	Away	Loss
159	DET	East	Home	Win
160	NY	East	Away	Loss
160	ORL	East	Home	Win
161	LAL	West	Away	Loss
161	BOS	East	Home	Win
162	MIA	East	Away	Win
162	PHO	West	Home	Loss
163	MIN	West	Away	Loss
163	GS	West	Home	Win
164	LAL	West	Away	Loss
164	WAS	East	Home	Win
165	NO	West	Away	Loss
165	TOR	East	Home	Win
166	CLE	East	Away	Loss
166	HOU	West	Home	Win
167	PHI	East	Away	Loss
167	SAC	West	Home	Win
168	OKC	West	Away	Loss
168	DEN	West	Home	Win
169	ATL	East	Away	Loss
169	DET	East	Home	Win
170	CHA	East	Away	Loss
170	BOS	East	Home	Win
171	IND	East	Away	Win
171	CHI	East	Home	Loss
172	LAC	West	Away	Loss
172	OKC	West	Home	Win
173	ORL	East	Away	Win
173	PHO	West	Home	Loss
174	MIL	East	Away	Win
174	SA	West	Home	Loss
175	MIA	East	Away	Win
175	UTA	West	Home	Loss
176	BKN	East	Away	Win
176	POR	West	Home	Loss
177	LAC	West	Away	Loss
177	NO	West	Home	Win
178	ATL	East	Away	Loss
178	WAS	East	Home	Win
179	MEM	West	Away	Loss
179	HOU	West	Home	Win
180	SAC	West	Away	Loss
180	NY	East	Home	Win
181	CLE	East	Away	Win
181	DAL	West	Home	Loss
182	PHI	East	Away	Loss
182	GS	West	Home	Win
183	LAL	West	Away	Loss
183	MIL	East	Home	Win
184	CHI	East	Away	Loss
184	SA	West	Home	Win
185	ORL	East	Away	Loss
185	DEN	West	Home	Win
186	MIN	West	Away	Loss
186	PHO	West	Home	Win
187	BKN	East	Away	Loss
187	UTA	West	Home	Win
188	TOR	East	Away	Loss
188	BOS	East	Home	Win
189	MIA	East	Away	Loss
189	DET	East	Home	Win
190	HOU	West	Away	Win
190	IND	East	Home	Loss
191	DAL	West	Away	Loss
191	OKC	West	Home	Win
192	SAC	West	Away	Loss
192	WAS	East	Home	Win
193	CLE	East	Away	Win
193	NY	East	Home	Loss
194	MEM	West	Away	Loss
194	MIL	East	Home	Win
195	ATL	East	Away	Loss
195	NO	West	Home	Win
196	LAL	West	Away	Win
196	PHO	West	Home	Loss
197	MIN	West	Away	Win
197	UTA	West	Home	Loss
198	DEN	West	Away	Loss
198	POR	West	Home	Win
199	ORL	East	Away	Loss
199	GS	West	Home	Win
200	PHI	East	Away	Win
200	LAC	West	Home	Loss
201	BOS	East	Away	Win
201	BKN	East	Home	Loss
202	TOR	East	Away	Win
202	HOU	West	Home	Loss
203	SA	West	Away	Win
203	DAL	West	Home	Loss
204	SAC	West	Away	Loss
204	ATL	East	Home	Win
205	WAS	East	Away	Win
205	MIA	East	Home	Loss
206	UTA	West	Away	Loss
206	NY	East	Home	Win
207	CLE	East	Away	Win
207	CHA	East	Home	Loss
208	IND	East	Away	Win
208	MEM	West	Home	Loss
209	DET	East	Away	Loss
209	MIL	East	Home	Win
210	SA	West	Away	Loss
210	MIN	West	Home	Win
211	TOR	East	Away	Win
211	NO	West	Home	Loss
212	CHI	East	Away	Loss
212	OKC	West	Home	Win
213	ORL	East	Away	Loss
213	POR	West	Home	Win
214	PHI	East	Away	Win
214	LAL	West	Home	Loss
215	GS	West	Away	Loss
215	BOS	East	Home	Win
216	HOU	West	Away	Win
216	PHO	West	Home	Loss
217	DET	East	Away	Loss
217	IND	East	Home	Win
218	MIA	East	Away	Win
218	WAS	East	Home	Loss
219	UTA	West	Away	Loss
219	BKN	East	Home	Win
220	LAC	West	Away	Loss
220	CLE	East	Home	Win
221	NY	East	Away	Loss
221	TOR	East	Home	Win
222	CHA	East	Away	Loss
222	CHI	East	Home	Win
223	OKC	West	Away	Loss
223	SA	West	Home	Win
224	MIN	West	Away	Win
224	DAL	West	Home	Loss
225	POR	West	Away	Loss
225	SAC	West	Home	Win
226	NO	West	Away	Loss
226	DEN	West	Home	Win
227	PHO	West	Away	Win
227	LAL	West	Home	Loss
228	LAC	West	Away	Loss
228	CHA	East	Home	Win
229	UTA	West	Away	Win
229	ORL	East	Home	Loss
230	BOS	East	Away	Win
230	ATL	East	Home	Loss
231	GS	West	Away	Win
231	PHI	East	Home	Loss
232	HOU	West	Away	Win
232	MEM	West	Home	Loss
233	MIL	East	Away	Loss
233	DAL	West	Home	Win
234	SAC	West	Away	Loss
234	POR	West	Home	Win
235	IND	East	Away	Win
235	MIA	East	Home	Loss
236	GS	West	Away	Win
236	BKN	East	Home	Loss
237	WAS	East	Away	Loss
237	TOR	East	Home	Win
238	DET	East	Away	Win
238	MIN	West	Home	Loss
239	CHI	East	Away	Loss
239	PHO	West	Home	Win
240	DEN	West	Away	Loss
240	LAL	West	Home	Win
241	MIN	West	Away	Loss
241	CHA	East	Home	Win
242	CLE	East	Away	Win
242	DET	East	Home	Loss
243	IND	East	Away	Win
243	ORL	East	Home	Loss
244	UTA	West	Away	Loss
244	PHI	East	Home	Win
245	LAC	West	Away	Loss
245	NY	East	Home	Win
246	POR	West	Away	Win
246	MEM	West	Home	Loss
247	WAS	East	Away	Win
247	MIL	East	Home	Loss
248	OKC	West	Away	Loss
248	NO	West	Home	Win
249	BOS	East	Away	Win
249	DAL	West	Home	Loss
250	ATL	East	Away	Loss
250	SA	West	Home	Win
251	DEN	West	Away	Win
251	SAC	West	Home	Loss
252	CHI	East	Away	Loss
252	LAL	West	Home	Win
253	WAS	East	Away	Loss
253	CHA	East	Home	Win
254	BKN	East	Away	Loss
254	CLE	East	Home	Win
255	POR	West	Away	Loss
255	PHI	East	Home	Win
256	LAC	West	Away	Win
256	ATL	East	Home	Loss
257	BOS	East	Away	Loss
257	MIA	East	Home	Win
258	TOR	East	Away	Loss
258	NY	East	Home	Win
259	DEN	West	Away	Loss
259	HOU	West	Home	Win
260	DAL	West	Away	Win
260	MEM	West	Home	Loss
261	ORL	East	Away	Loss
261	MIN	West	Home	Win
262	SA	West	Away	Loss
262	NO	West	Home	Win
263	GS	West	Away	Loss
263	OKC	West	Home	Win
264	MIL	East	Away	Win
264	PHO	West	Home	Loss
265	CHI	East	Away	Loss
265	UTA	West	Home	Win
266	LAL	West	Away	Loss
266	SAC	West	Home	Win
267	NY	East	Away	Loss
267	ATL	East	Home	Win
268	ORL	East	Away	Loss
268	BOS	East	Home	Win
269	CHA	East	Away	Loss
269	CLE	East	Home	Win
270	TOR	East	Away	Loss
270	IND	East	Home	Win
271	MIA	East	Away	Win
271	MIN	West	Home	Loss
272	DET	East	Away	Win
272	OKC	West	Home	Loss
273	MEM	West	Away	Loss
273	DEN	West	Home	Win
274	NO	West	Away	Win
274	PHO	West	Home	Loss
275	POR	West	Away	Win
275	BKN	East	Home	Loss
276	CHI	East	Away	Loss
276	GS	West	Home	Win
277	SA	West	Away	Win
277	CHA	East	Home	Loss
278	ORL	East	Away	Loss
278	PHI	East	Home	Win
279	POR	West	Away	Win
279	WAS	East	Home	Loss
280	TOR	East	Away	Win
280	ATL	East	Home	Loss
281	NY	East	Away	Loss
281	HOU	West	Home	Win
282	BOS	East	Away	Win
282	IND	East	Home	Loss
283	OKC	West	Away	Loss
283	DAL	West	Home	Win
284	NO	West	Away	Loss
284	GS	West	Home	Win
285	MIL	East	Away	Loss
285	UTA	West	Home	Win
286	LAC	West	Away	Win
286	SAC	West	Home	Loss
287	MIA	East	Away	Win
287	CHI	East	Home	Loss
288	PHO	West	Away	Loss
288	MIN	West	Home	Win
289	BKN	East	Away	Win
289	MEM	West	Home	Loss
290	ORL	East	Away	Loss
